behavioral_metric,binary_branch_coverage,binary_coverage_data_valid,binary_coverage_source,binary_function_coverage,binary_instrumentation_error,binary_statement_coverage,branch_coverage,coverage_data_valid,coverage_source,execution_metric,function_coverage,iteration,new_path_found,reference_branch_coverage,reference_coverage_data_valid,reference_coverage_source,reference_function_coverage,reference_instrumentation_error,reference_statement_coverage,run_id,statement_coverage,target,timestamp,total_inputs,tracking_mode
118.0,,,,,,,54.35,,instrumented,38.0,52.49,424,False,,,,,,,20260409_130402,51.7,json_decoder,2026-04-09 05:09:43.707000+00:00,424,code_execution
30.0,,,,,,,46.38,,instrumented,29.0,46.64,46,False,,,,,,,20260414_160232,46.75,json_decoder,2026-04-14 08:04:32.822000+00:00,46,code_execution
7.0,,,,,,,30.43,,instrumented,11.0,31.45,50,False,,,,,,,20260418_181902,31.89,json_decoder,2026-04-18 10:20:10.512000+00:00,50,code_execution
29.0,,,,,,,44.93,,instrumented,27.0,45.55,43,False,,,,,,,20260414_160232,45.82,json_decoder,2026-04-14 08:04:27.120000+00:00,43,code_execution
4.0,,,,,,,33.33,,instrumented,0.0,44.12,4,False,,,,,,,20260414_130834,46.43,ipv4_parser,2026-04-14 05:09:11.394000+00:00,4,code_execution
70.0,,,,,,,45.65,,instrumented,34.0,47.94,181,False,,,,,,,20260409_123226,48.92,json_decoder,2026-04-09 04:38:19.233000+00:00,181,code_execution
158.0,,,,,,,53.62,,instrumented,49.0,52.28,498,False,,,,,,,20260409_151209,51.7,json_decoder,2026-04-09 07:26:43.090000+00:00,498,code_execution
199.0,,,,,,,53.62,,instrumented,50.0,52.71,687,False,,,,,,,20260409_151209,52.32,json_decoder,2026-04-09 07:31:25.558000+00:00,687,code_execution
185.0,,,,,,,53.62,,instrumented,49.0,52.28,621,False,,,,,,,20260409_151209,51.7,json_decoder,2026-04-09 07:29:46.589000+00:00,621,code_execution
67.0,,,,,,,67.0,,proxy,37.0,67.0,179,False,,,,,,,20260409_151209,67.0,json_decoder,2026-04-09 07:19:07.174000+00:00,179,code_execution
10.0,,,,,,,29.71,,instrumented,12.0,31.89,20,False,,,,,,,20260409_115714,32.82,json_decoder,2026-04-09 03:57:50.909000+00:00,20,code_execution
268.0,,,,,,,54.35,,instrumented,49.0,53.15,982,False,,,,,,,20260409_133542,52.63,json_decoder,2026-04-09 06:05:26.051000+00:00,982,code_execution
59.0,,,,,,,42.75,,instrumented,31.0,44.25,144,False,,,,,,,20260409_151209,44.89,json_decoder,2026-04-09 07:18:18.110000+00:00,144,code_execution
5.0,,,,,,,25.0,,instrumented,0.0,37.5,7,False,,,,,,,20260409_122229,40.62,ipv6_parser,2026-04-09 04:24:23.303000+00:00,7,code_execution
9.0,,,,,,,36.23,,instrumented,12.0,38.18,35,True,,,,,,,20260409_020552,39.01,json_decoder,2026-04-08 18:06:36.617000+00:00,35,code_execution
40.0,,,,,,,50.0,,instrumented,29.0,49.67,98,False,,,,,,,20260409_130402,49.54,json_decoder,2026-04-09 05:06:15.585000+00:00,98,code_execution
6.0,,,,,,,30.43,,proxy,167.0,34.98,16,True,,,,,,,20260414_155026,34.98,json_decoder,2026-04-14 07:51:51.259000+00:00,16,code_execution
2.0,,,,,,,0.0,,proxy,0.0,0.0,7,False,,,,,,,20260415_001126,0.0,cidrize,2026-04-14 16:12:33.047000+00:00,7,behavioral
123.0,,,,,,,53.62,,instrumented,46.0,52.28,402,False,,,,,,,20260409_133542,51.7,json_decoder,2026-04-09 05:49:29.263000+00:00,402,code_execution
7.0,,,,,,,29.71,,instrumented,10.0,31.89,14,False,,,,,,,20260409_130315,32.82,json_decoder,2026-04-09 05:03:39.791000+00:00,14,code_execution
103.0,,,,,,,50.0,,instrumented,42.0,50.54,293,False,,,,,,,20260409_123226,50.77,json_decoder,2026-04-09 04:41:30.202000+00:00,293,code_execution
49.0,,,,,,,42.03,,instrumented,29.0,43.6,117,False,,,,,,,20260409_151209,44.27,json_decoder,2026-04-09 07:17:36.437000+00:00,117,code_execution
6.0,,,,,,,44.93,,whitebox_target,186.0,43.6,45,True,,,,,,,20260416_183234,43.03,json_decoder,2026-04-16 10:33:45.699000+00:00,45,code_execution
23.0,,,,,,,39.13,,instrumented,22.0,41.0,61,False,,,,,,,20260409_130315,41.8,json_decoder,2026-04-09 05:04:57.097000+00:00,61,code_execution
195.0,,,,,,,53.62,,instrumented,47.0,52.71,653,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:56:38.225000+00:00,653,code_execution
